user_id,article_id,score
1,37,3.0
1,48,3.0
2,1,3.0
2,6,3.0
2,13,3.0
2,17,3.0
2,18,3.0
2,25,3.0
2,34,3.0
2,37,3.0
2,40,3.0
2,48,3.0
3,4,3.0
3,7,3.0
3,11,3.0
3,29,3.0
3,30,3.0
3,33,3.0
3,34,3.0
3,35,3.0
3,39,3.0
3,40,3.0
3,48,3.0
3,49,3.0
4,11,3.0
4,21,3.0
4,33,3.0
4,37,3.0
4,39,3.0
4,42,3.0
5,11,3.0
5,12,3.0
5,13,3.0
5,17,3.0
5,30,3.0
5,36,3.0
5,38,3.0
5,40,3.0
5,42,3.0
5,48,3.0
6,6,3.0
6,7,3.0
6,10,3.0
6,13,3.0
6,15,3.0
6,17,3.0
6,18,3.0
6,23,3.0
6,33,3.0
6,35,3.0
6,37,3.0
7,4,3.0
7,11,3.0
7,44,3.0
8,2,3.0
8,6,3.0
8,7,3.0
8,10,3.0
8,11,3.0
8,12,3.0
8,15,3.0
8,17,3.0
8,25,3.0
8,28,3.0
8,31,3.0
8,33,3.0
8,35,3.0
8,40,3.0
8,48,3.0
9,1,3.0
9,2,3.0
9,13,3.0
9,18,3.0
9,29,3.0
9,38,3.0
9,39,3.0
9,44,3.0
9,49,3.0
10,1,3.0
10,4,3.0
10,10,3.0
10,11,3.0
10,12,3.0
10,13,3.0
10,15,3.0
10,18,3.0
10,33,3.0
10,36,3.0
10,44,3.0
11,6,3.0
11,13,3.0
11,17,3.0
11,23,3.0
11,25,3.0
11,28,3.0
11,29,3.0
11,36,3.0
11,38,3.0
11,40,3.0
11,44,3.0
11,48,3.0
11,49,3.0
12,83,1.0
12,98,1.0
12,101,1.0
13,1,3.0
13,6,3.0
13,7,3.0
13,12,3.0
13,21,3.0
14,37,3.0
15,1,3.0
15,15,3.0
15,23,3.0
15,36,3.0
15,37,3.0
15,39,3.0
15,42,3.0
15,48,3.0
16,2,3.0
16,6,3.0
16,7,3.0
16,17,3.0
16,37,3.0
17,1,3.0
17,7,3.0
17,18,3.0
17,31,3.0
17,33,3.0
17,38,3.0
17,40,3.0
17,42,3.0
17,44,3.0
18,21,3.0
18,23,3.0
18,34,3.0
18,37,3.0
19,4,3.0
19,10,3.0
19,13,3.0
19,15,3.0
19,29,3.0
19,37,3.0
19,48,3.0
20,6,3.0
20,29,3.0
21,37,1.0
21,49,1.0
22,49,1.0
23,6,1.0
23,21,1.0
23,29,1.0
23,33,1.0
23,40,1.0
23,49,1.0
24,1,3.0
24,7,1.0
24,15,4.0
24,18,1.0
24,34,1.0
24,37,1.0
24,38,3.0
24,40,3.0
24,44,6.0
24,48,3.0
24,49,6.0
25,97,1.0
25,101,1.0
25,102,1.0
25,104,4.0
25,106,1.0
25,107,1.0
25,110,6.0
26,51,5.0
27,7,6.0
27,34,3.0
27,51,1.0
27,52,1.0
27,53,1.0
30,51,4.0
30,101,1.0
38,105,4.0
40,106,4.0
41,100,1.0
41,101,1.0
41,102,1.0
41,105,1.0
41,106,6.0
43,106,3.0
43,110,1.0
44,42,2.916666666666667
44,44,2.1166666666666667
44,48,8.741666666666667
44,51,7.4
44,56,7.191666666666666
44,57,7.933333333333334
44,62,4.266666666666667
44,63,6.0
44,64,10.325
44,73,4.65
44,76,3.183333333333333
44,78,9.95
44,79,6.725
44,80,8.166666666666666
44,83,5.325
44,84,6.516666666666667
44,85,4.916666666666666
44,86,6.491666666666667
44,88,6.333333333333334
44,90,4.55
44,93,6.058333333333334
44,95,5.275
44,97,8.866666666666667
44,100,3.9583333333333335
44,101,1.6333333333333333
44,104,8.933333333333334
44,105,7.266666666666667
44,106,1.65
44,108,6.333333333333334
44,110,5.975
